backend,variant,nlev,nproma,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,0,0.370362
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,1,0.365482
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,2,0.362292
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,3,0.366372
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,4,0.347842
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,5,0.361602
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,6,0.343482
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,7,0.352202
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,8,0.372082
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,9,0.357082
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,10,0.354562
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,11,0.372422
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,12,0.378282
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,13,0.368152
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,14,0.349162
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,15,0.366642
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,16,0.373352
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,17,0.356882
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,18,0.352042
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,19,0.369102
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,20,0.353282
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,21,0.350242
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,22,0.361272
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,23,0.366962
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,24,0.362562
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,25,0.359602
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,26,0.356882
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,27,0.372722
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,28,0.347002
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,29,0.354442
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,30,0.350002
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,31,0.347402
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,32,0.345322
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,33,0.359242
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,34,0.374122
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,35,0.353162
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,36,0.351962
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,37,0.348402
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,38,0.364642
